OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
1,8344750,NO ERROR,-89.84,35.20,4.55,7/31/2003
2,7659468,ROUTE NOT FOUND,0.00,0.00,0.00,1/2/2004
3,8059890,ROUTE NOT FOUND,0.00,0.00,0.00,2/29/2004
4,8088687,NO ERROR,-89.91,35.34,28.40,11/11/2003
5,7707322,NO ERROR,-86.41,35.73,5.68,1/1/2004
6,8714567,ROUTE NOT FOUND,0.00,0.00,0.00,8/10/2003
7,8465529,ROUTE NOT FOUND,0.00,0.00,0.00,8/9/2003
8,8273992,ROUTE NOT FOUND,0.00,0.00,0.00,7/20/2003
9,8751535,ROUTE NOT FOUND,0.00,0.00,0.00,1/21/2003
10,8015172,ROUTE NOT FOUND,0.00,0.00,0.00,8/24/2003
11,8193449,NO ERROR,-86.80,36.16,11.67,6/2/2003
12,8027401,NO ERROR,-86.45,35.47,10.72,3/21/2004
13,7707011,ROUTE NOT FOUND,0.00,0.00,0.00,8/7/2003
14,8441234,ROUTE NOT FOUND,0.00,0.00,0.00,4/23/2003
15,8153420,ROUTE NOT FOUND,0.00,0.00,0.00,7/18/2004
16,8116544,ROUTE NOT FOUND,0.00,0.00,0.00,3/6/2003
17,7940882,NO ERROR,-87.34,36.54,21.55,7/6/2004
18,8523004,ROUTE NOT FOUND,0.00,0.00,0.00,10/29/2003
19,7618863,ROUTE NOT FOUND,0.00,0.00,0.00,3/12/2003
20,7494891,ROUTE NOT FOUND,0.00,0.00,0.00,5/9/2003
21,7502000,NO ERROR,-90.00,35.12,11.34,9/13/2004
22,8022194,NO ERROR,-86.76,36.22,15.94,3/25/2003
23,7659512,ROUTE NOT FOUND,0.00,0.00,0.00,8/22/2004
24,8678761,ROUTE NOT FOUND,0.00,0.00,0.00,9/23/2003
25,8229080,ROUTE NOT FOUND,0.00,0.00,0.00,6/17/2003
26,7896515,NO ERROR,-86.87,35.91,11.09,7/31/2003
27,8142286,NO ERROR,-86.80,36.16,11.67,6/27/2003
28,7987515,ROUTE NOT FOUND,0.00,0.00,0.00,4/16/2004
29,7962904,ROUTE NOT FOUND,0.00,0.00,0.00,8/18/2003
30,8146628,ROUTE NOT FOUND,0.00,0.00,0.00,1/7/2003
31,7998488,ROUTE NOT FOUND,0.00,0.00,0.00,8/6/2004
32,8430408,ROUTE NOT FOUND,0.00,0.00,0.00,5/16/2003
33,8129122,NO ERROR,-89.98,35.10,9.80,4/16/2004
34,8109954,ROUTE NOT FOUND,0.00,0.00,0.00,9/21/2003
35,7923228,ROUTE NOT FOUND,0.00,0.00,0.00,4/3/2004
36,8514350,NO ERROR,-85.20,34.99,0.89,10/13/2003
37,7523135,ROUTE NOT FOUND,0.00,0.00,0.00,8/2/2003
38,8328212,ROUTE NOT FOUND,0.00,0.00,0.00,9/13/2003
39,7457261,ROUTE NOT FOUND,0.00,0.00,0.00,7/19/2003
40,8861300,NO ERROR,-82.57,36.58,12.35,3/24/2003
41,8658980,ROUTE NOT FOUND,0.00,0.00,0.00,6/7/2003
42,8222473,ROUTE NOT FOUND,0.00,0.00,0.00,8/28/2003
43,8217444,ROUTE NOT FOUND,0.00,0.00,0.00,8/25/2003
44,7881339,NO ERROR,-86.78,36.13,6.46,2/17/2003
45,8131680,ROUTE NOT FOUND,0.00,0.00,0.00,8/13/2003
46,7979196,ROUTE NOT FOUND,0.00,0.00,0.00,6/28/2004
47,8379480,ROUTE NOT FOUND,0.00,0.00,0.00,3/22/2003
48,8093372,ROUTE NOT FOUND,0.00,0.00,0.00,10/1/2004
49,8098301,NO ERROR,-89.98,35.10,9.80,7/2/2003
50,7876093,NO ERROR,-87.36,36.53,5.58,8/19/2004
51,8727834,ROUTE NOT FOUND,0.00,0.00,0.00,1/22/2003
52,8508851,ROUTE NOT FOUND,0.00,0.00,0.00,3/20/2003
53,8296029,ROUTE NOT FOUND,0.00,0.00,0.00,6/8/2003
54,8397069,ROUTE NOT FOUND,0.00,0.00,0.00,9/1/2003
