OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
1,8101772,NO ERROR,-86.79,36.16,17.30,10/21/2003
2,8146905,ROUTE NOT FOUND,0.00,0.00,0.00,12/31/2003
3,8023080,ROUTE NOT FOUND,0.00,0.00,0.00,9/8/2003
4,7761911,ROUTE NOT FOUND,0.00,0.00,0.00,11/6/2003
5,8011141,ROUTE NOT FOUND,0.00,0.00,0.00,9/5/2003
6,7424912,ROUTE NOT FOUND,0.00,0.00,0.00,7/6/2003
7,7513318,NO ERROR,-90.02,35.05,4.10,10/16/2003
8,7674807,NO ERROR,-85.11,35.38,26.98,5/5/2003
9,7796567,ROUTE NOT FOUND,0.00,0.00,0.00,7/31/2003
10,7959395,ROUTE NOT FOUND,0.00,0.00,0.00,11/20/2003
11,7553837,NO ERROR,-83.51,35.71,15.55,6/7/2003
12,8107777,NO ERROR,-86.92,36.11,8.99,7/4/2003
13,8191609,NO ERROR,-86.70,36.12,22.72,3/1/2003
14,8091131,ROUTE NOT FOUND,0.00,0.00,0.00,7/11/2003
15,7885087,NO ERROR,-87.35,36.08,11.59,2/21/2003
16,7494960,NO ERROR,-90.05,35.12,0.91,11/14/2003
17,8097891,NO ERROR,-90.03,35.16,12.82,8/8/2003
18,8140795,ROUTE NOT FOUND,0.00,0.00,0.00,4/14/2003
19,7723611,ROUTE NOT FOUND,0.00,0.00,0.00,1/30/2003
20,7985888,ROUTE NOT FOUND,0.00,0.00,0.00,10/4/2003
21,7884534,NO ERROR,-87.41,36.09,7.40,8/16/2003
22,7422264,ROUTE NOT FOUND,0.00,0.00,0.00,7/28/2003
23,7505684,NO ERROR,-90.04,35.15,1.46,2/2/2003
24,8114970,ROUTE NOT FOUND,0.00,0.00,0.00,3/5/2003
25,7767306,ROUTE NOT FOUND,0.00,0.00,0.00,1/2/2003
26,7958367,NO ERROR,-89.98,35.16,15.92,11/25/2003
27,7528718,ROUTE NOT FOUND,0.00,0.00,0.00,8/28/2003
28,8104837,ROUTE NOT FOUND,0.00,0.00,0.00,9/23/2003
29,7511624,ROUTE NOT FOUND,0.00,0.00,0.00,8/17/2003
30,7789827,ROUTE NOT FOUND,0.00,0.00,0.00,2/12/2003
31,7958841,ROUTE NOT FOUND,0.00,0.00,0.00,10/27/2003
32,7547541,ROUTE NOT FOUND,0.00,0.00,0.00,3/22/2003
33,8105315,ROUTE NOT FOUND,0.00,0.00,0.00,10/31/2003
34,8154451,NO ERROR,-86.40,35.85,11.33,12/20/2003
35,8081739,ROUTE NOT FOUND,0.00,0.00,0.00,10/12/2003
36,7489168,ROUTE NOT FOUND,0.00,0.00,0.00,3/18/2003
37,8096212,NO ERROR,-87.25,36.50,8.07,12/3/2003
38,8133224,NO ERROR,-86.01,35.53,19.29,6/13/2003
39,7525233,ROUTE NOT FOUND,0.00,0.00,0.00,6/12/2003
40,8122040,NO ERROR,-89.91,35.21,0.62,5/26/2003
41,7710306,NO ERROR,-82.55,36.34,9.20,11/8/2003
42,7963581,ROUTE NOT FOUND,0.00,0.00,0.00,12/18/2003
43,7873846,NO ERROR,-87.30,36.51,10.74,2/14/2003
44,7413582,NO ERROR,-82.57,36.58,12.22,2/28/2003
45,7636644,ROUTE NOT FOUND,0.00,0.00,0.00,2/22/2003
46,7504279,NO ERROR,-90.05,35.14,11.54,4/3/2003
47,8113524,NO ERROR,-83.90,35.98,21.68,12/1/2003
48,7956368,ROUTE NOT FOUND,0.00,0.00,0.00,10/4/2003
49,7526909,NO ERROR,-89.96,35.14,3.43,3/7/2003
50,8103411,NO ERROR,-86.74,36.11,1.66,12/5/2003
51,8148678,ROUTE NOT FOUND,0.00,0.00,0.00,1/11/2003
52,8042404,ROUTE NOT FOUND,0.00,0.00,0.00,10/4/2003
53,8019875,NO ERROR,-86.71,36.04,4.28,2/13/2003
54,7446523,ROUTE NOT FOUND,0.00,0.00,0.00,5/11/2003
55,8092759,ROUTE NOT FOUND,0.00,0.00,0.00,9/11/2003
56,8123279,ROUTE NOT FOUND,0.00,0.00,0.00,7/20/2003
57,7361650,NO ERROR,-84.25,35.80,13.70,7/5/2003
58,7520878,ROUTE NOT FOUND,0.00,0.00,0.00,2/20/2003
59,8116034,ROUTE NOT FOUND,0.00,0.00,0.00,9/29/2003
60,8150332,NO ERROR,-86.77,36.15,18.72,5/7/2003
61,8059678,ROUTE NOT FOUND,0.00,0.00,0.00,11/25/2003
62,7458262,ROUTE NOT FOUND,0.00,0.00,0.00,8/22/2003
63,8094305,NO ERROR,-90.08,35.03,3.41,8/26/2003
64,8129505,ROUTE NOT FOUND,0.00,0.00,0.00,1/21/2003
65,7361730,ROUTE NOT FOUND,0.00,0.00,0.00,2/21/2003
66,7523123,ROUTE NOT FOUND,0.00,0.00,0.00,7/4/2003
67,8118925,ROUTE NOT FOUND,0.00,0.00,0.00,11/10/2003
68,7702813,ROUTE NOT FOUND,0.00,0.00,0.00,12/2/2003
69,7961214,ROUTE NOT FOUND,0.00,0.00,0.00,12/17/2003
70,7842911,ROUTE NOT FOUND,0.00,0.00,0.00,5/1/2003
71,7602548,ROUTE NOT FOUND,0.00,0.00,0.00,6/1/2003
72,8113058,ROUTE NOT FOUND,0.00,0.00,0.00,1/17/2003
73,8199629,ROUTE NOT FOUND,0.00,0.00,0.00,5/28/2003
74,7925713,NO ERROR,-90.03,35.02,1.81,12/29/2003
75,7498067,ROUTE NOT FOUND,0.00,0.00,0.00,7/27/2003
76,8102782,ROUTE NOT FOUND,0.00,0.00,0.00,9/6/2003
77,8147574,ROUTE NOT FOUND,0.00,0.00,0.00,1/7/2003
78,8029219,ROUTE NOT FOUND,0.00,0.00,0.00,2/1/2003
79,8012105,ROUTE NOT FOUND,0.00,0.00,0.00,8/13/2003
80,7439853,ROUTE NOT FOUND,0.00,0.00,0.00,8/30/2003
81,7365300,ROUTE NOT FOUND,0.00,0.00,0.00,2/28/2003
82,7516754,ROUTE NOT FOUND,0.00,0.00,0.00,6/27/2003
83,7680805,NO ERROR,-85.12,35.00,5.34,6/11/2003
84,7801813,NO ERROR,-88.38,35.66,11.52,5/31/2003
85,7960530,NO ERROR,-89.95,35.02,8.77,11/7/2003
86,7562890,ROUTE NOT FOUND,0.00,0.00,0.00,2/14/2003
87,8108482,NO ERROR,-86.76,36.15,18.99,11/5/2003
88,8193607,NO ERROR,-86.72,36.24,16.75,11/13/2003
89,8091866,ROUTE NOT FOUND,0.00,0.00,0.00,6/23/2003
90,7688648,NO ERROR,-83.48,35.83,11.65,1/6/2003
91,7960634,NO ERROR,-89.99,35.11,10.40,12/6/2003
92,7811543,NO ERROR,-84.71,35.15,11.37,7/18/2003
93,7571276,ROUTE NOT FOUND,0.00,0.00,0.00,8/22/2003
94,8111131,ROUTE NOT FOUND,0.00,0.00,0.00,2/1/2003
95,8195642,ROUTE NOT FOUND,0.00,0.00,0.00,6/28/2003
96,8092594,NO ERROR,-90.07,35.04,4.58,7/17/2003
97,7921651,NO ERROR,-90.05,35.14,0.08,12/4/2003
98,7497567,ROUTE NOT FOUND,0.00,0.00,0.00,3/12/2003
99,8101738,ROUTE NOT FOUND,0.00,0.00,0.00,8/31/2003
100,8146223,ROUTE NOT FOUND,0.00,0.00,0.00,12/5/2003
101,8021004,ROUTE NOT FOUND,0.00,0.00,0.00,9/21/2003
102,7756651,ROUTE NOT FOUND,0.00,0.00,0.00,6/19/2003
103,8010890,ROUTE NOT FOUND,0.00,0.00,0.00,6/6/2003
104,7426849,ROUTE NOT FOUND,0.00,0.00,0.00,4/10/2003
105,7368994,NO ERROR,-84.89,35.19,9.14,2/16/2003
106,7511724,ROUTE NOT FOUND,0.00,0.00,0.00,5/17/2003
107,7669997,NO ERROR,-86.84,36.46,6.47,5/4/2003
